Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Point of Control, Value Area High Value, Value Area Low Value, Volume Weighted Average Price, Previous Day Close Line, Previous Day High Line, Previous Day Low Line, Daily Open at 08:00, Cash Market Open at 09:00, Open, High, Low, Close
2024-5-9, 20:00:00.000000, 18817, 18831, 18814, 18830, 462, 407, 18823, 18825, 18823, 221, 241, 0, 0, 0, 0, 0, 18691, 18560, 18633, 18621, 677, 747, 671, 697
2024-5-9, 20:30:00.000000, 18829, 18843, 18826, 18839, 519, 436, 18834, 18836, 18835, 197, 322, 0, 0, 0, 0, 0, 18691, 18560, 18633, 18621, 697, 830, 695, 822
2024-5-9, 21:00:00.000000, 18840, 18840, 18827, 18832, 498, 459, 18835, 18833, 18834, 283, 215, 0, 0, 0, 0, 0, 18691, 18560, 18633, 18621, 822, 835, 740, 754
2024-5-9, 21:30:00.000000, 18833, 18840, 18827, 18839, 766, 696, 18835, 18835, 18834, 343, 423, 0, 0, 0, 0, 0, 18691, 18560, 18633, 18621, 754, 863, 747, 834
2024-5-10, 02:00:00.000000, 18838, 18851, 18838, 18844, 104, 94, 18843, 18844, 18845, 54, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, -15, -4
2024-5-10, 02:30:00.000000, 18846, 18850, 18840, 18848, 52, 52, 18846, 18846, 18845, 25, 27, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, -4, 1, -7, -2
2024-5-10, 03:00:00.000000, 18851, 18853, 18844, 18850, 47, 47, 18850, 18849, 18849, 16, 31, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, -2, 15, -5, 13
2024-5-10, 03:30:00.000000, 18843, 18850, 18833, 18833, 61, 61, 18840, 18839, 18842, 39, 22, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, 13, 18, -4, -4
2024-5-10, 04:00:00.000000, 18835, 18838, 18829, 18836, 23, 22, 18835, 18834, 18834, 6, 17, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, -3, 8, -3, 7
2024-5-10, 04:30:00.000000, 18839, 18843, 18832, 18841, 56, 52, 18839, 18839, 18838, 28, 28, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, 7, 10, -3, 7
2024-5-10, 05:00:00.000000, 18840, 18847, 18840, 18847, 17, 17, 18844, 18845, 18844, 6, 11, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, 7, 12, 7, 12
2024-5-10, 05:30:00.000000, 18846, 18846, 18835, 18837, 18, 18, 18841, 18839, 18841, 13, 5, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, 11, 11, 4, 4
2024-5-10, 06:00:00.000000, 18842, 18849, 18841, 18848, 41, 39, 18845, 18846, 18845, 16, 25, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, 4, 16, 1, 13
2024-5-10, 06:30:00.000000, 18850, 18856, 18850, 18854, 84, 80, 18853, 18853, 18853, 41, 43, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, 13, 32, 12, 15
2024-5-10, 07:00:00.000000, 18854, 18863, 18847, 18851, 87, 80, 18854, 18854, 18855, 48, 39, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, 15, 18, 0, 6
2024-5-10, 07:30:00.000000, 18851, 18875, 18845, 18850, 404, 329, 18855, 18857, 18860, 205, 199, 0, 0, 0, 0, 0, 18843, 18612, 0, 0, 6, 36, -9, 0
2024-5-10, 08:00:00.000000, 18847, 18871, 18839, 18868, 1148, 1008, 18856, 18859, 18855, 596, 552, 0, 0, 0, 0, 0, 18843, 18612, 18847, 0, 0, 3, -104, -44
2024-5-10, 08:30:00.000000, 18867, 18881, 18859, 18875, 942, 845, 18871, 18872, 18870, 477, 465, 0, 0, 0, 0, 0, 18843, 18612, 18847, 0, -44, 32, -86, -56
2024-5-10, 09:00:00.000000, 18878, 18904, 18865, 18903, 3617, 3333, 18888, 18891, 18885, 1854, 1763, 18886, 18922, 18876, 18882, 0, 18843, 18612, 18847, 18878, -56, 1, -256, -147
2024-5-10, 09:30:00.000000, 18904, 18922, 18894, 18920, 2635, 2248, 18910, 18912, 18908, 1336, 1299, 18886, 18922, 18876, 18894, 0, 18843, 18612, 18847, 18878, -147, -114, -256, -184
2024-5-10, 10:00:00.000000, 18921, 18938, 18914, 18937, 1864, 1624, 18928, 18930, 18926, 972, 892, 18886, 18922, 18876, 18901, 0, 18843, 18612, 18847, 18878, -184, -106, -297, -264
2024-5-10, 10:30:00.000000, 18936, 18961, 18930, 18960, 1648, 1530, 18947, 18950, 18946, 780, 868, 18886, 18922, 18876, 18909, 0, 18843, 18612, 18847, 18878, -264, -138, -270, -176
2024-5-10, 11:00:00.000000, 18961, 18966, 18943, 18943, 1383, 1238, 18953, 18951, 18955, 781, 602, 18886, 18922, 18876, 18915, 0, 18843, 18612, 18847, 18878, -176, -149, -355, -355
2024-5-10, 11:30:00.000000, 18943, 18951, 18928, 18928, 1849, 1656, 18938, 18936, 18940, 994, 855, 18886, 18922, 18876, 18918, 0, 18843, 18612, 18847, 18878, -355, -267, -500, -494
2024-5-10, 12:00:00.000000, 18929, 18940, 18923, 18925, 930, 863, 18929, 18929, 18932, 485, 445, 18886, 18922, 18876, 18919, 0, 18843, 18612, 18847, 18878, -494, -430, -538, -534
2024-5-10, 12:30:00.000000, 18925, 18929, 18905, 18909, 766, 674, 18917, 18914, 18917, 426, 340, 18886, 18922, 18876, 18919, 0, 18843, 18612, 18847, 18878, -534, -529, -644, -620
2024-5-10, 13:00:00.000000, 18908, 18911, 18886, 18899, 1649, 1431, 18901, 18899, 18899, 873, 776, 18886, 18922, 18876, 18917, 0, 18843, 18612, 18847, 18878, -620, -604, -759, -717
