Date;Symbol;Indexvalue
25.11.2005;V1X;14.26
28.11.2005;V1X;14.86
29.11.2005;V1X;14.93
30.11.2005;V1X;14.77
01.12.2005;V1X;14.17
02.12.2005;V1X;13.74
05.12.2005;V1X;14.58
06.12.2005;V1X;14.11
07.12.2005;V1X;14.75
08.12.2005;V1X;14.55
09.12.2005;V1X;13.76
12.12.2005;V1X;13.82
13.12.2005;V1X;13.86
14.12.2005;V1X;14.07
15.12.2005;V1X;13.47
16.12.2005;V1X;12.47
19.12.2005;V1X;12.57
20.12.2005;V1X;12.76
21.12.2005;V1X;12.7
22.12.2005;V1X;12.91
23.12.2005;V1X;12.51
27.12.2005;V1X;13.14
28.12.2005;V1X;13.64
29.12.2005;V1X;14.15
02.01.2006;V1X;15.12
03.01.2006;V1X;14.81
04.01.2006;V1X;14.6
05.01.2006;V1X;14.77
06.01.2006;V1X;14.33
09.01.2006;V1X;14.72
10.01.2006;V1X;14.87
11.01.2006;V1X;14.19
12.01.2006;V1X;13.73
13.01.2006;V1X;14.44
16.01.2006;V1X;14.08
17.01.2006;V1X;15.01
18.01.2006;V1X;15.4
19.01.2006;V1X;15.28
20.01.2006;V1X;15.6
23.01.2006;V1X;16.04
24.01.2006;V1X;15.42
25.01.2006;V1X;15
26.01.2006;V1X;15.43
27.01.2006;V1X;15.36
30.01.2006;V1X;16.09
31.01.2006;V1X;16.95
01.02.2006;V1X;16.39
02.02.2006;V1X;17.26
03.02.2006;V1X;17.06
06.02.2006;V1X;17.51
07.02.2006;V1X;17.15
08.02.2006;V1X;16.96
09.02.2006;V1X;16.64
10.02.2006;V1X;16.93
13.02.2006;V1X;17.03
14.02.2006;V1X;17.1
15.02.2006;V1X;16.96
16.02.2006;V1X;16.1
17.02.2006;V1X;15.48
20.02.2006;V1X;15.82
21.02.2006;V1X;17.05
22.02.2006;V1X;15.29
23.02.2006;V1X;15.81
24.02.2006;V1X;15.41
27.02.2006;V1X;15.1
28.02.2006;V1X;16.05
01.03.2006;V1X;15.36
02.03.2006;V1X;15.79
03.03.2006;V1X;16.19
06.03.2006;V1X;16.21
07.03.2006;V1X;16.5
08.03.2006;V1X;16.59
09.03.2006;V1X;15.96
10.03.2006;V1X;15.23
13.03.2006;V1X;14.87
14.03.2006;V1X;14.84
15.03.2006;V1X;14.58
16.03.2006;V1X;14.4
17.03.2006;V1X;14.7
20.03.2006;V1X;15.3
21.03.2006;V1X;15.12
22.03.2006;V1X;14.34
23.03.2006;V1X;14.4
24.03.2006;V1X;13.92
27.03.2006;V1X;15.5
28.03.2006;V1X;15.32
29.03.2006;V1X;15.15
30.03.2006;V1X;14.22
31.03.2006;V1X;14.4
03.04.2006;V1X;14.34
04.04.2006;V1X;14.68
05.04.2006;V1X;14.56
06.04.2006;V1X;14.44
07.04.2006;V1X;15.11
10.04.2006;V1X;15.23
11.04.2006;V1X;16.14
12.04.2006;V1X;15.79
13.04.2006;V1X;15.26
18.04.2006;V1X;15.99
19.04.2006;V1X;15.35
20.04.2006;V1X;14.89
21.04.2006;V1X;15.04
24.04.2006;V1X;16.02
25.04.2006;V1X;15.67
26.04.2006;V1X;15.13
27.04.2006;V1X;15.66
28.04.2006;V1X;15.6
02.05.2006;V1X;15.81
03.05.2006;V1X;16.79
04.05.2006;V1X;16.06
05.05.2006;V1X;14.77
08.05.2006;V1X;15.33
09.05.2006;V1X;15.29
10.05.2006;V1X;15.43
11.05.2006;V1X;15.9
12.05.2006;V1X;17.26
15.05.2006;V1X;18.88
16.05.2006;V1X;18.52
17.05.2006;V1X;19.98
18.05.2006;V1X;22.06
19.05.2006;V1X;21.64
22.05.2006;V1X;25.98
23.05.2006;V1X;23.06
24.05.2006;V1X;25.29
25.05.2006;V1X;22.78
26.05.2006;V1X;21.32
29.05.2006;V1X;21.77
30.05.2006;V1X;25.58
31.05.2006;V1X;24.25
01.06.2006;V1X;23.03
02.06.2006;V1X;21.97
05.06.2006;V1X;23.15
06.06.2006;V1X;25.21
07.06.2006;V1X;24.14
08.06.2006;V1X;25.91
09.06.2006;V1X;23.96
12.06.2006;V1X;24.9
13.06.2006;V1X;27.42
14.06.2006;V1X;27.02
15.06.2006;V1X;23.96
16.06.2006;V1X;24.49
19.06.2006;V1X;23.08
20.06.2006;V1X;22.08
21.06.2006;V1X;20.83
22.06.2006;V1X;20.71
23.06.2006;V1X;20.5
26.06.2006;V1X;21.34
27.06.2006;V1X;22.26
28.06.2006;V1X;22.33
29.06.2006;V1X;21.05
30.06.2006;V1X;18.5
03.07.2006;V1X;18.08
04.07.2006;V1X;17.91
05.07.2006;V1X;20.5
06.07.2006;V1X;19.27
07.07.2006;V1X;19.18
10.07.2006;V1X;19.2
11.07.2006;V1X;20.44
12.07.2006;V1X;20.12
13.07.2006;V1X;22.08
14.07.2006;V1X;23.44
17.07.2006;V1X;23.78
18.07.2006;V1X;23.6
19.07.2006;V1X;20.53
20.07.2006;V1X;20.51
21.07.2006;V1X;21.06
24.07.2006;V1X;20
25.07.2006;V1X;20.22
26.07.2006;V1X;19.68
27.07.2006;V1X;18.72
28.07.2006;V1X;17.84
31.07.2006;V1X;19.28
01.08.2006;V1X;20.57
02.08.2006;V1X;19.32
03.08.2006;V1X;20.14
04.08.2006;V1X;19.22
07.08.2006;V1X;21.5
08.08.2006;V1X;21.55
09.08.2006;V1X;19.81
10.08.2006;V1X;20.91
11.08.2006;V1X;20.15
14.08.2006;V1X;19.47
15.08.2006;V1X;18.45
16.08.2006;V1X;17.91
17.08.2006;V1X;17.98
18.08.2006;V1X;17.47
21.08.2006;V1X;17.96
22.08.2006;V1X;17.42
23.08.2006;V1X;17.66
24.08.2006;V1X;17.36
25.08.2006;V1X;16.78
28.08.2006;V1X;17.05
29.08.2006;V1X;17.54
30.08.2006;V1X;17.2
31.08.2006;V1X;17.28
01.09.2006;V1X;16.59
04.09.2006;V1X;16.77
05.09.2006;V1X;17.38
06.09.2006;V1X;18.57
07.09.2006;V1X;18.96
08.09.2006;V1X;18.23
11.09.2006;V1X;18.73
12.09.2006;V1X;17.48
13.09.2006;V1X;17.18
14.09.2006;V1X;16.79
15.09.2006;V1X;16.19
18.09.2006;V1X;16.67
19.09.2006;V1X;17.16
20.09.2006;V1X;16.03
21.09.2006;V1X;15.95
22.09.2006;V1X;17.16
25.09.2006;V1X;17.28
26.09.2006;V1X;16.17
27.09.2006;V1X;16.24
28.09.2006;V1X;16.36
29.09.2006;V1X;16.45
02.10.2006;V1X;17.36
03.10.2006;V1X;17.39
04.10.2006;V1X;16.32
05.10.2006;V1X;16.21
06.10.2006;V1X;16.14
09.10.2006;V1X;16.74
10.10.2006;V1X;15.94
11.10.2006;V1X;16.05
12.10.2006;V1X;15.45
13.10.2006;V1X;14.99
16.10.2006;V1X;14.97
17.10.2006;V1X;16.36
18.10.2006;V1X;15.41
19.10.2006;V1X;15.25
20.10.2006;V1X;14.47
23.10.2006;V1X;14.4
24.10.2006;V1X;14.48
25.10.2006;V1X;14.36
26.10.2006;V1X;14.37
27.10.2006;V1X;14.71
30.10.2006;V1X;15.19
31.10.2006;V1X;14.69
01.11.2006;V1X;14.02
02.11.2006;V1X;14.97
03.11.2006;V1X;14.51
06.11.2006;V1X;13.7
07.11.2006;V1X;13.75
08.11.2006;V1X;13.89
09.11.2006;V1X;13.99
10.11.2006;V1X;13.74
13.11.2006;V1X;13.86
14.11.2006;V1X;14.25
15.11.2006;V1X;13.55
16.11.2006;V1X;13.48
17.11.2006;V1X;13.19
20.11.2006;V1X;13.22
21.11.2006;V1X;12.92
22.11.2006;V1X;13.02
23.11.2006;V1X;13.29
24.11.2006;V1X;14.88
27.11.2006;V1X;16.98
28.11.2006;V1X;16.42
29.11.2006;V1X;15.12
30.11.2006;V1X;16.04
01.12.2006;V1X;16.66
04.12.2006;V1X;16.73
05.12.2006;V1X;15.6
06.12.2006;V1X;15.77
07.12.2006;V1X;15.41
08.12.2006;V1X;14.94
11.12.2006;V1X;14.63
12.12.2006;V1X;14.54
13.12.2006;V1X;14.09
14.12.2006;V1X;12.98
15.12.2006;V1X;12.13
18.12.2006;V1X;12.79
19.12.2006;V1X;13.69
20.12.2006;V1X;12.65
21.12.2006;V1X;12.83
22.12.2006;V1X;38.9
27.12.2006;V1X;14.28
28.12.2006;V1X;14.06
29.12.2006;V1X;14.65
02.01.2007;V1X;14.79
03.01.2007;V1X;14.8
04.01.2007;V1X;15.12
05.01.2007;V1X;16.09
08.01.2007;V1X;16.76
09.01.2007;V1X;16.68
10.01.2007;V1X;17.35
11.01.2007;V1X;15.14
12.01.2007;V1X;14.73
15.01.2007;V1X;14.59
16.01.2007;V1X;15.43
17.01.2007;V1X;15.63
18.01.2007;V1X;15.71
19.01.2007;V1X;14.37
22.01.2007;V1X;15.9
23.01.2007;V1X;16.05
24.01.2007;V1X;14.81
25.01.2007;V1X;15.55
26.01.2007;V1X;15.92
29.01.2007;V1X;16.26
30.01.2007;V1X;15.35
31.01.2007;V1X;15.83
01.02.2007;V1X;14.78
02.02.2007;V1X;14.02
05.02.2007;V1X;14.59
06.02.2007;V1X;14.73
07.02.2007;V1X;14.2
08.02.2007;V1X;14.68
09.02.2007;V1X;14.21
12.02.2007;V1X;15.49
13.02.2007;V1X;15.28
14.02.2007;V1X;14.07
15.02.2007;V1X;13.78
16.02.2007;V1X;13.48
19.02.2007;V1X;13.6
20.02.2007;V1X;13.95
21.02.2007;V1X;14.51
22.02.2007;V1X;14.06
23.02.2007;V1X;13.92
26.02.2007;V1X;13.76
27.02.2007;V1X;17.5
28.02.2007;V1X;18.81
01.03.2007;V1X;19.65
02.03.2007;V1X;20.73
05.03.2007;V1X;21.78
06.03.2007;V1X;20.23
07.03.2007;V1X;19.52
08.03.2007;V1X;18.34
09.03.2007;V1X;18.33
12.03.2007;V1X;19.24
13.03.2007;V1X;20.73
14.03.2007;V1X;23.77
15.03.2007;V1X;22.07
16.03.2007;V1X;20.83
19.03.2007;V1X;19.66
20.03.2007;V1X;18.41
21.03.2007;V1X;18.12
22.03.2007;V1X;16.88
23.03.2007;V1X;16.63
26.03.2007;V1X;18.66
27.03.2007;V1X;18.26
28.03.2007;V1X;19.33
29.03.2007;V1X;18.06
30.03.2007;V1X;17.22
02.04.2007;V1X;17.09
03.04.2007;V1X;15.58
04.04.2007;V1X;15.47
05.04.2007;V1X;14.93
10.04.2007;V1X;15.07
11.04.2007;V1X;16.25
12.04.2007;V1X;16.75
13.04.2007;V1X;16.4
16.04.2007;V1X;16.3
17.04.2007;V1X;17.17
18.04.2007;V1X;17.98
19.04.2007;V1X;18.54
20.04.2007;V1X;17.57
23.04.2007;V1X;18.11
24.04.2007;V1X;18.49
25.04.2007;V1X;17.59
26.04.2007;V1X;17.43
27.04.2007;V1X;17.78
30.04.2007;V1X;18.25
02.05.2007;V1X;18.27
03.05.2007;V1X;18.1
04.05.2007;V1X;17.4
07.05.2007;V1X;17.5
08.05.2007;V1X;18.27
09.05.2007;V1X;17.87
10.05.2007;V1X;18.53
11.05.2007;V1X;17.77
14.05.2007;V1X;18.68
15.05.2007;V1X;18.17
16.05.2007;V1X;18.21
17.05.2007;V1X;18.09
18.05.2007;V1X;16.34
21.05.2007;V1X;16.64
22.05.2007;V1X;16.51
23.05.2007;V1X;16.23
24.05.2007;V1X;17.59
25.05.2007;V1X;16.76
29.05.2007;V1X;17.37
30.05.2007;V1X;17.64
31.05.2007;V1X;16.34
01.06.2007;V1X;16.28
04.06.2007;V1X;17.55
05.06.2007;V1X;18.11
06.06.2007;V1X;20.41
07.06.2007;V1X;21.23
08.06.2007;V1X;20.48
11.06.2007;V1X;19.87
12.06.2007;V1X;20.22
13.06.2007;V1X;20.31
14.06.2007;V1X;18.68
15.06.2007;V1X;18.55
18.06.2007;V1X;19.5
19.06.2007;V1X;19.2
20.06.2007;V1X;18.96
21.06.2007;V1X;20.02
22.06.2007;V1X;20.3
25.06.2007;V1X;20.63
26.06.2007;V1X;21.24
27.06.2007;V1X;21.07
28.06.2007;V1X;19.9
29.06.2007;V1X;19.2
02.07.2007;V1X;19.96
03.07.2007;V1X;19.38
04.07.2007;V1X;19.3
05.07.2007;V1X;20.53
06.07.2007;V1X;19.86
09.07.2007;V1X;20.19
10.07.2007;V1X;21.41
11.07.2007;V1X;21.82
12.07.2007;V1X;20.7
13.07.2007;V1X;20.42
